NCES_ID,State_ID,NCES_DisID,StatDis_ID,Low_Grade,High_Grade,Sch_Name,District,County,Street_Add,City,State,ZIP,ZIP_4digit,Phone,LocCode,Locale,Charter,Magnet,Titl1_Sch,Titl1_Wide,Students,Teachers,St_Tea_Rat,Free_Lunch,Red_Lunch,addLong,Latitude,Longitude,url
80336001522,CO-0880-2174,803360,CO-0880,PK,6,DENISON MONTESSORI SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1821 SOUTH YATES STREET,DENVER,CO,80219,4318,(720)424-8080,11,City: Large,No,No,No,?,408,24.5,16.7,170,72,"1821 SOUTH YATES STREET DENVER,CO,80219",39.683082,-105.050906,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1821+SOUTH+YATES+STREET+DENVER,CO,80219"
80336006516,CO-0880-2188,803360,CO-0880,6,12,DENVER CENTER FOR 21ST LEARNING AT WYMAN,School District No. 1 in the county of Denver and State of C,Denver County,1690 WILLIAMS STREET,DENVER,CO,80218,,(720)424-2980,11,City: Large,No,No,Yes,Yes,220,19.99,11,185,6,"1690 WILLIAMS STREET DENVER,CO,80218",39.742397,-104.965988,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1690+WILLIAMS+STREET+DENVER,CO,80218"
80336001917,CO-0880-2183,803360,CO-0880,6,12,DENVER CENTER FOR INTERNATIONAL STUDIES,School District No. 1 in the county of Denver and State of C,Denver County,574 WEST 6TH AVE,DENVER,CO,80204,5124,(720)423-9000,11,City: Large,No,Yes,No,?,739,38.97,19,349,60,"574 WEST 6TH AVE DENVER,CO,80204",39.725677,-104.993991,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=574+WEST+6TH+AVE+DENVER,CO,80204"
80336006574,CO-0880-2129,803360,CO-0880,PK,5,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMON,School District No. 1 in the county of Denver and State of C,Denver County,520 WEST 3RD AVENUE,DENVER,CO,80223,,(720)424-7620,11,City: Large,No,No,Yes,Yes,420,31.05,13.5,254,37,"520 WEST 3RD AVENUE DENVER,CO,80223",39.720924,-104.994237,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=520+WEST+3RD+AVENUE+DENVER,CO,80223"
80336006624,CO-0880-2227,803360,CO-0880,6,8,DENVER DISCOVERY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,3480 SYRACUSE STREET,DENVER,CO,80238,,(720)424-4790,11,City: Large,No,No,No,?,253,17.4,14.5,73,7,"3480 SYRACUSE STREET DENVER,CO,80238",39.76411,-104.898895,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=3480+SYRACUSE+STREET+DENVER,CO,80238"
80336006453,CO-0880-2125,803360,CO-0880,PK,8,DENVER GREEN SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,6700 EAST VIRGINIA AVENUE,DENVER,CO,80224,,(720)424-7480,11,City: Large,No,No,No,?,536,34.5,15.5,273,43,"6700 EAST VIRGINIA AVENUE DENVER,CO,80224",39.70748,-104.909065,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=6700+EAST+VIRGINIA+AVENUE+DENVER,CO,80224"
80336006482,CO-0880-2127,803360,CO-0880,KG,8,DENVER LANGUAGE SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,451 NEWPORT STREET,DENVER,CO,80220,,(303)557-0852,11,City: Large,Yes,No,No,?,659,43.46,15.2,82,15,"451 NEWPORT STREET DENVER,CO,80220",39.722889,-104.909733,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=451+NEWPORT+STREET+DENVER,CO,80220"
80336006568,CO-0880-2167,803360,CO-0880,7,10,DENVER MONTESSORI JUNIOR/SENIOR HIGH SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,4250 SHOSHONE STREET,DENVER,CO,80211,,(720)424-2600,11,City: Large,No,No,No,?,109,7.5,14.5,45,6,"4250 SHOSHONE STREET DENVER,CO,80211",39.774736,-105.009989,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4250+SHOSHONE+STREET+DENVER,CO,80211"
80336001955,CO-0880-6509,803360,CO-0880,9,12,DENVER ONLINE HIGH SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,4250 Shoshone St,DENVER,CO,80211,,(720)424-8281,11,City: Large,No,No,No,?,204,7.5,27.2,52,10,"4250 Shoshone St DENVER,CO,80211",39.774736,-105.009989,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=4250+Shoshone+St+DENVER,CO,80211"
80336006640,CO-0880-2241,803360,CO-0880,9,10,DENVER SCHOOL OF INNOVATION AND SUSTAINABLE DESIGN,School District No. 1 in the county of Denver and State of C,Denver County,150 SOUTH PEARL STREET,DENVER,CO,80209,,(720)424-2000,11,City: Large,No,No,Yes,Yes,99,7,14.1,51,11,"150 SOUTH PEARL STREET DENVER,CO,80209",39.713819,-104.980403,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=150+SOUTH+PEARL+STREET+DENVER,CO,80209"
80336001574,CO-0880-2184,803360,CO-0880,6,12,DENVER SCHOOL OF THE ARTS,School District No. 1 in the county of Denver and State of C,Denver County,7111 MONTVIEW BLVD,DENVER,CO,80220,1867,(720)424-1700,11,City: Large,No,No,No,?,1089,50.63,21.5,88,37,"7111 MONTVIEW BLVD DENVER,CO,80220",39.747435,-104.905209,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=7111+MONTVIEW+BLVD+DENVER,CO,80220"
80336000385,CO-0880-6088,803360,CO-0880,PK,8,DORA MOORE ECE-8 SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,846 CORONA STREET,DENVER,CO,80218,3411,(720)424-5300,11,City: Large,No,No,Yes,Yes,383,27.9,13.7,254,31,"846 CORONA STREET DENVER,CO,80218",39.729746,-104.974073,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=846+CORONA+STREET+DENVER,CO,80218"
80336000336,CO-0880-2258,803360,CO-0880,PK,5,DOULL ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,2520 SOUTH UTICA STREET,DENVER,CO,80219,5639,(720)424-8000,11,City: Large,No,No,Yes,Yes,511,37,13.8,417,38,"2520 SOUTH UTICA STREET DENVER,CO,80219",39.672981,-105.044972,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=2520+SOUTH+UTICA+STREET+DENVER,CO,80219"
80336006584,CO-0880-2207,803360,CO-0880,KG,5,DOWNTOWN DENVER EXPEDITIONARY SCHOOL,School District No. 1 in the county of Denver and State of C,Denver County,1860 LINCOLN ST,DENVER,CO,80203,,(720)424-2350,11,City: Large,Yes,No,No,?,359,18.37,19.5,87,21,"1860 LINCOLN ST DENVER,CO,80203",39.74575,-104.986106,"http://www.mapquestapi.com/geocoding/v1/address?key=sz3qLEUYu1cJKXShzSazkXb6QtIOxAfH&location=1860+LINCOLN+ST+DENVER,CO,80203"
