Company Name,Business Name,Street Address,City,State Abbreviation,Zip Code,Telephone Number,Line of Business,Latitude,Longitude,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
"BOSELLI & SONS, LLC",MCDONALD'S,5155 W 72ND AVE,WESTMINSTER,CO,800305137,3034287491,FAST-FOOD REST CHAIN,39.827327,-105.052297,722513,58120307,0,0,84,
BRANNON JONES,MCDONALD'S,1061 MAIN ST,WINDSOR,CO,805504707,,FAST-FOOD REST CHAIN,40.479709,-104.915712,722513,58120307,935766,50,50,1996
C B A K INC,MCDONALD'S,3151 AIRPORT BLVD,AURORA,CO,800113332,3033640706,FAST-FOOD REST CHAIN,39.760873,-104.791291,722513,58120307,542628,43,43,2001
C & B GOLDING,MCDONALD'S,4310 BARNES RD,COLORADO SPRINGS,CO,809171559,7195721782,FAST-FOOD REST CHAIN,38.897021,-104.746797,722513,58120307,0,0,1,
C & B GOLDING,MCDONALD'S,3021 W COLORADO AVE,COLORADO SPRINGS,CO,809042146,7194440132,FAST-FOOD REST CHAIN,38.852314,-104.87103,722513,58120307,0,0,1,
CJN INC,MCDONALD'S,941 ALTA VISTA DR,CRAIG,CO,816253222,9708242403,FAST-FOOD REST CHAIN,40.522763,-107.558388,722513,58120307,3090610,80,1,1985
CJN INC,MCDONALD'S,78850 US HWY 40,WINTER PARK,CO,80482,9707260566,FAST-FOOD REST CHAIN,39.91914,-105.784972,722513,58120307,0,0,25,
CJN INC,MCDONALD'S,1150 S LINCOLN AVE,STEAMBOAT SPRINGS,CO,804878931,9708790247,FAST-FOOD REST CHAIN,40.469173,-106.826089,722513,58120307,0,0,32,
CJN INC,MCDONALD'S,1080 W VICTORY WAY,CRAIG,CO,816252940,9708247638,FAST-FOOD REST CHAIN,40.514133,-107.559999,722513,58120307,0,0,30,
CLARA CORPORATION,MCDONALD'S,7509 S ALKIRE ST,DENVER,CO,801273721,3039049552,FAST-FOOD REST CHAIN,39.580505,-105.133792,722513,58120307,0,0,35,
CLARA CORPORATION,MCDONALD'S,2881 YOUNGFIELD ST,GOLDEN,CO,804012267,3032388671,FAST-FOOD REST CHAIN,39.757979,-105.142507,722513,58120307,0,0,30,
CLARA CORPORATION,MCDONALD'S,3340 W 38TH AVE,DENVER,CO,802111910,3034580127,FAST-FOOD REST CHAIN,39.769387,-105.030829,722513,58120307,0,0,60,
CLARA CORPORATION,MCDONALD'S,6050 E PARKWAY DR,COMMERCE CITY,CO,800223250,3032889418,FAST-FOOD REST CHAIN,39.806649,-104.929885,722513,58120307,850902,50,50,1976
CLARA CORPORATION,MCDONALD'S,10925 W COLFAX AVE,LAKEWOOD,CO,802153724,3032380665,FAST-FOOD REST CHAIN,39.740267,-105.121068,722513,58120307,0,0,30,
CLARA CORPORATION,MCDONALD'S,4855 WARD RD STE 600,WHEAT RIDGE,CO,800331953,3032323390,FAST-FOOD REST CHAIN,39.784531,-105.138039,722513,58120307,16159814,450,5,1978
CLARA CORPORATION,MCDONALD'S,10177 W PROGRESS AVE # 2040,LITTLETON,CO,801271767,3039734440,FAST-FOOD REST CHAIN,39.622644,-105.111661,722513,58120307,0,0,65,
DAVE MADERA,MCDONALD'S,8667 S QUEBEC ST,HIGHLANDS RANCH,CO,801305800,3035930298,FAST-FOOD REST CHAIN,39.559735,-104.904715,722513,58120307,614569,43,43,2001
DAVID NAPIER,MCDONALD'S,1650 SANTA FE DR,PUEBLO,CO,810061446,7195448968,FAST-FOOD REST CHAIN,38.245617,-104.580594,722513,58120307,500520,30,30,2004
DONALD KISSACK,MCDONALD'S,1028 BLUE GRASS TRL,EVERGREEN,CO,804399750,7403980157,FAST-FOOD REST CHAIN,39.695859,-105.336753,722513,58120307,985768,43,43,2004
DRIVE IN MEYMAR INCORPORATED,MCDONALD'S,1001 29TH AVENUE CT,GREELEY,CO,806345416,9703562495,FAST-FOOD REST CHAIN,40.422565,-104.728025,722513,58120307,5471718,200,80,1965
DRIVE IN MEYMAR INCORPORATED,MCDONALD'S,1250 W ELIZABETH ST,FORT COLLINS,CO,805214509,9702214578,FAST-FOOD REST CHAIN,40.574692,-105.098337,722513,58120307,0,0,52,
DRIVE IN MEYMAR INCORPORATED,MCDONALD'S,2440 8TH AVE,GREELEY,CO,806317035,9703526786,FAST-FOOD REST CHAIN,40.398188,-104.691057,722513,58120307,0,0,47,
EDGEWATER STORE,MCDONALD'S,1701 SHERIDAN BLVD,EDGEWATER,CO,802141323,3032371070,FAST-FOOD REST CHAIN,39.744273,-105.053254,722513,58120307,657582,36,36,2000
FRANK SANDOVAL,MCDONALD'S,800 W CRESTLINE PL,LITTLETON,CO,80120,3039721967,FAST-FOOD REST CHAIN,39.618336,-104.997539,722513,58120307,1300000,50,50,1987
FRANK SANDOVAL,MCDONALD'S,17500 S GOLDEN RD,GOLDEN,CO,804012694,3032770020,FAST-FOOD REST CHAIN,39.740026,-105.197661,722513,58120307,541769,25,25,1997
FRM MANAGEMENT CO,MCDONALD'S,6686 S YOSEMITE CT,GREENWOOD VILLAGE,CO,801114904,3037706650,FAST-FOOD REST CHAIN,39.595388,-104.887058,722513,58120307,0,0,30,
FRM MANAGEMENT CO,MCDONALD'S,5090 S QUEBEC ST,DENVER,CO,802372707,3036940255,FAST-FOOD REST CHAIN,39.624378,-104.903913,722513,58120307,0,0,45,
FRM MANAGEMENT CO,MCDONALD'S,8286 S WADSWORTH BLVD,LITTLETON,CO,801289116,7209815550,FAST-FOOD REST CHAIN,39.566568,-105.082575,722513,58120307,0,0,40,
FRM MANAGEMENT CO,MCDONALD'S,8241 S HOLLY ST,CENTENNIAL,CO,801224003,3037408565,FAST-FOOD REST CHAIN,39.567039,-104.923095,722513,58120307,0,0,39,
FRM MANAGEMENT CO,MCDONALD'S,5550 W DARTMOUTH AVE,DENVER,CO,802275504,3039860814,FAST-FOOD REST CHAIN,39.655847,-105.05574,722513,58120307,0,0,40,
"GDM MANAGEMENT, INC.",MCDONALD'S,1395 S SANTA FE DR,DENVER,CO,802233233,3037446769,FAST-FOOD REST CHAIN,39.691373,-104.992403,722513,58120307,3834316,135,28,1990
GEORGE GREENWALD,MCDONALD'S,709 TAUGHENBAUGH BLVD,RIFLE,CO,816502704,9706253236,FAST-FOOD REST CHAIN,39.521797,-107.776725,722513,58120307,527354,25,25,2000
GREG MERRIL,MCDONALD'S,5858 S SANTA FE DR,LITTLETON,CO,801201815,3037955649,FAST-FOOD REST CHAIN,39.611206,-105.021021,722513,58120307,857368,41,20,1990
GREG MERRIL,MCDONALD'S,1395 S SANTA FE DR,DENVER,CO,802233233,3037446769,FAST-FOOD REST CHAIN,39.691373,-104.992403,722513,58120307,0,0,30,
HILL SEVEN LLC,MCDONALD'S,595 US HIGHWAY 287,BROOMFIELD,CO,800201731,3034669764,FAST-FOOD REST CHAIN,39.923826,-105.090887,722513,58120307,0,0,47,
HILL SEVEN LLC,MCDONALD'S,1250 E 1ST AVE,BROOMFIELD,CO,800203703,3036358020,FAST-FOOD REST CHAIN,39.915092,-105.057438,722513,58120307,0,0,47,
H L HACKETT INC,MCDONALD'S,10950 S PARKER RD,PARKER,CO,801347440,3038418214,FAST-FOOD REST CHAIN,39.517695,-104.764737,722513,58120307,1154569,50,50,1989
IN-CLEIN MC DONALD'S II,MCDONALD'S,3601 S FEDERAL BLVD,ENGLEWOOD,CO,801103212,3037814097,FAST-FOOD REST CHAIN,39.650997,-105.02537,722513,58120307,1393857,70,70,1975
"J1, INC",MCDONALD'S,2400 CENTRAL AVE STE P1,BOULDER,CO,803012843,3034434700,FAST-FOOD REST CHAIN,40.023825,-105.218289,722513,58120307,5403597,150,150,1994
JAMES KLEIN,MCDONALD'S,630 W HAMPDEN AVE,ENGLEWOOD,CO,801102114,3037621187,FAST-FOOD REST CHAIN,39.653138,-104.995206,722513,58120307,1343082,75,75,1981
"JAYHAWK ENTERPRISES, INC.",MCDONALD'S,19105 GREENBRIER LN,MONUMENT,CO,801328850,7194818464,FAST-FOOD REST CHAIN,39.108789,-104.836646,722513,58120307,2117166,120,1,1992
"JAYHAWK ENTERPRISES, INC.",MCDONALD'S,8120 VOYAGER PKWY,COLORADO SPRINGS,CO,809205509,,FAST-FOOD REST CHAIN,38.949344,-104.802624,722513,58120307,0,0,47,
JOBEC INC,MCDONALD'S,555 S CAMINO DEL RIO A3C,DURANGO,CO,813036826,9702472446,FAST-FOOD REST CHAIN,37.246599,-107.874612,722513,58120307,0,0,60,
JOBEC INC,MCDONALD'S,555 S CAMINO DEL RIO A3C,DURANGO,CO,813036826,5053346824,FAST-FOOD REST CHAIN,37.246599,-107.874612,722513,58120307,0,0,39,
JOBEC INC,MCDONALD'S,555 S CAMINO DEL RIO A3C,DURANGO,CO,813036826,9705656004,FAST-FOOD REST CHAIN,37.246599,-107.874612,722513,58120307,0,0,45,
JOBEC INC,MCDONALD'S,555 S CAMINO DEL RIO A3C,DURANGO,CO,813036826,5053274925,FAST-FOOD REST CHAIN,37.246599,-107.874612,722513,58120307,0,0,45,
JOBEC INC,MCDONALD'S,555 S CAMINO DEL RIO A3C,DURANGO,CO,813036826,9702479391,FAST-FOOD REST CHAIN,37.246599,-107.874612,722513,58120307,8310767,250,5,1981
JOLEAN MANAGEMENT,MCDONALD'S,12017 W ALAMEDA PKWY,LAKEWOOD,CO,802282701,7209885334,FAST-FOOD REST CHAIN,39.708825,-105.134212,722513,58120307,2200000,90,90,1974
JOLEE MANAGEMENT COMPANY,MCDONALD'S,6086 S CHESTER WAY,GREENWOOD VILLAGE,CO,801115230,3032900406,FAST-FOOD REST CHAIN,39.606373,-104.881296,722513,58120307,1283535,150,150,1992
JOSEPH FIGUEORA,MCDONALD'S,505 E COLFAX AVE,DENVER,CO,802032017,3038324259,FAST-FOOD REST CHAIN,39.740074,-104.98066,722513,58120307,830000,30,30,1987
KATHY LENNIEN,MCDONALD'S,5100 S BROADWAY,ENGLEWOOD,CO,801136706,3038069244,FAST-FOOD REST CHAIN,39.62387,-104.987841,722513,58120307,389943,25,25,1999
KEO ENTERPRISES,MCDONALD'S,811 CASTLE VALLEY BLVD,NEW CASTLE,CO,816479441,9709843332,FAST-FOOD REST CHAIN,39.569815,-107.513417,722513,58120307,523716,43,43,2011
KING ENTERPRISES,MCDONALD'S,555 JURASSIC CT,FRUITA,CO,815217707,9708583843,FAST-FOOD REST CHAIN,39.151927,-108.739662,722513,58120307,0,0,27,
KING ENTERPRISES,MCDONALD'S,1305 GLENWOOD AVE,GRAND JUNCTION,CO,815014329,9702456420,EATING PLACE BEEF CATTLE-EXCEPT FEEDLOT AMUSEMENT/RECREATION SERVICES,39.078285,-108.550826,722513,58120307,2287471,58,3,1982
KING ENTERPRISES,MCDONALD'S,3219 I-70 BUSINESS LOOP,CLIFTON,CO,815207609,9704349190,FAST-FOOD REST CHAIN,39.089483,-108.455957,722513,58120307,0,0,50,
LEROY SMITH INC,MCDONALD'S,995 PARK ST,CASTLE ROCK,CO,801091527,3036885880,FAST-FOOD REST CHAIN,39.380566,-104.865914,722513,58120307,929568,55,55,1994
LISA MORRIS,MCDONALD'S,900 AURARIA PKWY 101C,DENVER,CO,802041894,3035958434,FAST-FOOD REST CHAIN,39.747254,-105.005665,722513,58120307,300000,8,8,1997
LONG ENTERPRISE INC,MCDONALD'S,1035 E MAIN ST,MONTROSE,CO,814014065,9702402722,FAST-FOOD REST CHAIN,38.484057,-107.87012,722513,58120307,1089894,45,45,1981
"LONG'S OF GUNNISON, INC",MCDONALD'S,800 E TOMICHI AVE,GUNNISON,CO,812302065,9706415050,FAST-FOOD REST CHAIN,38.544411,-106.91741,722513,58120307,0,0,35,
L & S ENTERPRISES 2 INC,MCDONALD'S,640 SUTHPOINTE CT STE 110,COLORADO SPRINGS,CO,80906,7193938071,FAST-FOOD REST CHAIN,38.796577,-104.816943,722513,58120307,4800000,220,7,1981
L & S ENTERPRISES 2 INC,MCDONALD'S,1824 S NEVADA AVE,COLORADO SPRINGS,CO,809052517,7196331171,FAST-FOOD REST CHAIN,38.8072,-104.822434,722513,58120307,0,0,45,
L & S ENTERPRISES 2 INC,MCDONALD'S,2705 JANITELL RD,COLORADO SPRINGS,CO,809064102,7195380075,FAST-FOOD REST CHAIN,38.795484,-104.789988,722513,58120307,0,0,40,
L & S ENTERPRISES 2 INC,MCDONALD'S,105 PLAZA BLVD,FOUNTAIN,CO,808172550,7193911315,FAST-FOOD REST CHAIN,38.742262,-104.736555,722513,58120307,0,0,50,
L & S ENTERPRISES 2 INC,MCDONALD'S,2515 S ACADEMY BLVD,COLORADO SPRINGS,CO,809162801,7193928249,FAST-FOOD REST CHAIN,38.796141,-104.757454,722513,58120307,0,0,34,
L & S ENTERPRISES 2 INC,MCDONALD'S,207 N WAHSATCH AVE,COLORADO SPRINGS,CO,809033408,7196347589,FAST-FOOD REST CHAIN,38.836874,-104.817743,722513,58120307,0,0,25,
MC DONALDS,MCDONALD'S,1035 N COLORADO AVE,BRUSH,CO,807233028,9708422717,FAST-FOOD REST CHAIN,40.265625,-103.621755,722513,58120307,919665,40,40,1996
MC DONALDS,MCDONALD'S,5990 DAHLIA ST,COMMERCE CITY,CO,800223708,3032279950,FAST-FOOD REST CHAIN,39.80464,-104.931183,722513,58120307,567657,43,43,2007
MC DONALD'S,MCDONALD'S,1822 SKYWAY DR UNIT N,LONGMONT,CO,805045204,3036829566,FAST-FOOD REST CHAIN,40.158285,-105.020952,722513,58120307,1282662,45,40,1998
MC DONALD'S,MCDONALD'S,5550 E WOODMEN RD,COLORADO SPRINGS,CO,809205257,7195930099,FAST-FOOD REST CHAIN,38.940294,-104.724872,722513,58120307,524039,43,43,2009
MC DONALD'S,MCDONALD'S,2881 NORTH AVE,GRAND JUNCTION,CO,815015064,9702414042,FAST-FOOD REST CHAIN,39.077231,-108.518198,722513,58120307,458815,43,43,2010
MC DONALD'S,MCDONALD'S,5235 WADSWORTH BYP,ARVADA,CO,800023729,3034201966,FAST-FOOD REST CHAIN,39.792177,-105.081077,722513,58120307,1798633,100,100,2000
MC DONALD'S,MCDONALD'S,1822 SKYWAY DR UNIT N,LONGMONT,CO,805045204,9706698250,FAST-FOOD REST CHAIN,40.158285,-105.020952,722513,58120307,0,0,3,
MC DONALD'S,MCDONALD'S,6201 E COLFAX AVE,DENVER,CO,802201514,3033330982,FAST-FOOD REST CHAIN,39.740237,-104.915977,722513,58120307,522399,43,43,2007
MC DONALD'S,MCDONALD'S,9400 E HAMPDEN AVE,DENVER,CO,802315414,3037519301,FAST-FOOD REST CHAIN,39.653021,-104.877407,722513,58120307,565726,43,43,2010
MC DONALD'S,MCDONALD'S,9901 GRANT ST,THORNTON,CO,802292157,3034518658,FAST-FOOD REST CHAIN,39.876593,-104.983856,722513,58120307,525533,43,43,2010
MC DONALD'S,MCDONALD'S,250 W 65TH ST,LOVELAND,CO,805384668,9704611566,FAST-FOOD REST CHAIN,40.458417,-105.079987,722513,58120307,0,0,3,
MC DONALD'S,MCDONALD'S,390 S 8TH ST,COLORADO SPRINGS,CO,809051804,7196355281,FAST-FOOD REST CHAIN,38.828504,-104.840837,722513,58120307,1933760,95,55,1991
MC DONALD'S,MCDONALD'S,150 S PARISH AVE,JOHNSTOWN,CO,805349096,9705878995,FAST-FOOD REST CHAIN,40.334062,-104.906154,722513,58120307,663123,43,43,2002
MC DONALD'S,MCDONALD'S,8900 PENA BLVD,DENVER,CO,802496363,3033429052,FAST-FOOD REST CHAIN,39.8517,-104.676666,722513,58120307,623521,43,43,2010
MC DONALD'S,MCDONALD'S,3201 E PLATTE AVE,COLORADO SPRINGS,CO,809096460,7196329505,FAST-FOOD REST CHAIN,38.839672,-104.769912,722513,58120307,563116,43,43,2010
MCDONALD'S,MCDONALD'S,780 W 84TH AVE,THORNTON,CO,802604820,3034120544,FAST-FOOD REST CHAIN,39.848973,-104.996282,722513,58120307,465823,43,43,2014
MCDONALD'S,MCDONALD'S,1675 N COLLEGE AVE,FORT COLLINS,CO,805241220,9702218550,FAST-FOOD REST CHAIN,40.609427,-105.076527,722513,58120307,509773,33,33,2002
MCDONALD'S,MCDONALD'S,5450 TUTT BLVD,COLORADO SPRINGS,CO,809222515,7195918541,FAST-FOOD REST CHAIN,38.909519,-104.715226,722513,58120307,560048,43,43,2011
MCDONALD'S,MCDONALD'S,1325 DENVER AVE,LOVELAND,CO,805375120,9706120011,FAST-FOOD REST CHAIN,40.405844,-105.044764,722513,58120307,479116,43,43,2011
MCDONALD'S,MCDONALD'S,12875 QUEBEC ST,THORNTON,CO,806029623,7208722395,FAST-FOOD REST CHAIN,39.929481,-104.90303,722513,58120307,518585,43,43,2011
MCDONALD'S,MCDONALD'S,10011 JORDAN RD UNIT A,PARKER,CO,801346101,7208517615,FAST-FOOD REST CHAIN,39.535356,-104.793512,722513,58120307,445959,43,43,2011
MCDONALD'S,MCDONALD'S,5650 S CHAMBERS RD,AURORA,CO,800151132,3036991965,FAST-FOOD REST CHAIN,39.615288,-104.813692,722513,58120307,586603,43,43,2011
MCDONALD'S,MCDONALD'S,1822 SKYWAY DR UNIT N,LONGMONT,CO,805045204,3038335366,FAST-FOOD REST CHAIN,40.158285,-105.020952,722513,58120307,493119,41,41,2004
MCDONALD'S,MCDONALD'S,8700 PENA BLVD,DENVER,CO,802496362,3033429048,FAST-FOOD REST CHAIN,39.851272,-104.675106,722513,58120307,215709,10,10,2011
MCDONALD'S,MCDONALD'S,4780 YAMPA ST,DENVER,CO,802496839,3033735377,FAST-FOOD REST CHAIN,39.783177,-104.774408,722513,58120307,509010,43,43,2011
MCDONALD'S,MCDONALD'S,1888 S WADSWORTH BLVD,LAKEWOOD,CO,802326831,3037637500,FAST-FOOD REST CHAIN,39.683229,-105.081386,722513,58120307,606099,43,43,2011
MCDONALD'S,MCDONALD'S,2911 COLORADO BLVD,IDAHO SPRINGS,CO,80452,3035671410,FAST-FOOD REST CHAIN,39.741765,-105.49754,722513,58120307,541758,43,43,2011
MCDONALD'S,MCDONALD'S,4525 S COLLEGE AVE,FORT COLLINS,CO,805253024,9702232847,FAST-FOOD REST CHAIN,40.524682,-105.077223,722513,58120307,376364,11,11,2002
MCDONALD'S,MCDONALD'S,10400 BELLE CREEK BLVD,HENDERSON,CO,806407572,3032893207,FAST-FOOD REST CHAIN,39.887688,-104.881788,722513,58120307,547955,43,43,2012
MCDONALD'S,MCDONALD'S,324 E FILLMORE ST,COLORADO SPRINGS,CO,809076368,7196323007,FAST-FOOD REST CHAIN,38.87435,-104.81601,722513,58120307,612878,43,43,2009
MCDONALD'S,MCDONALD'S,55 S OAK AVE UNIT B,EATON,CO,806158803,9704545575,FAST-FOOD REST CHAIN,40.524162,-104.711148,722513,58120307,520496,43,43,2010
MCDONALD'S,MCDONALD'S,1050 S CHAMBERS RD,AURORA,CO,800173027,3036967592,FAST-FOOD REST CHAIN,39.697367,-104.809748,722513,58120307,1251945,53,53,1998
MCDONALD'S,MCDONALD'S,300 S BROADWAY,DENVER,CO,802091512,3037153612,FAST-FOOD REST CHAIN,39.71102,-104.987534,722513,58120307,704758,43,43,2009
MCDONALD'S,MCDONALD'S,3902 WADSWORTH BLVD,WHEAT RIDGE,CO,800334615,3034215250,FAST-FOOD REST CHAIN,39.771319,-105.08133,722513,58120307,542725,43,43,2009
MCDONALD'S,MCDONALD'S,3512 S TIMBERLINE RD,FORT COLLINS,CO,805252932,9702060426,FAST-FOOD REST CHAIN,40.539158,-105.039133,722513,58120307,693977,43,43,2008
MCDONALD'S,MCDONALD'S,8120 6TH ST,WELLINGTON,CO,805491514,9705687933,FAST-FOOD REST CHAIN,40.702761,-105.000291,722513,58120307,528229,43,43,2012
MCDONALD'S,MCDONALD'S,1051 S HOVER ST UNIT B,LONGMONT,CO,805018024,3036821948,FAST-FOOD REST CHAIN,40.149453,-105.130859,722513,58120307,870000,40,40,2001
MCDONALD'S,MCDONALD'S,6801 W ALAMEDA AVE,LAKEWOOD,CO,802263301,3032379690,FAST-FOOD REST CHAIN,39.711112,-105.072493,722513,58120307,851314,60,60,1994
MCDONALD'S,MCDONALD'S,1191 S 1ST ST,BENNETT,CO,801027908,3036443336,FAST-FOOD REST CHAIN,39.740366,-104.433388,722513,58120307,564278,43,43,2012
MCDONALD'S,MCDONALD'S,25650 E ARAPAHOE RD,AURORA,CO,800162849,7208827267,FAST-FOOD REST CHAIN,39.588565,-104.688755,722513,58120307,142874,7,7,2015
MCDONALD'S,MCDONALD'S,1451 ODELLE RD,MONTROSE,CO,814015588,9702402722,FAST-FOOD REST CHAIN,38.454501,-107.866713,722513,58120307,571542,43,43,2014
MCDONALD'S,MCDONALD'S,11025 E COLFAX AVE,AURORA,CO,800102502,3033645212,FAST-FOOD REST CHAIN,39.740238,-104.85978,722513,58120307,587769,43,43,2014
MCDONALD'S,MCDONALD'S,1212 NORTH AVE,GRAND JUNCTION,CO,815013143,9702421105,FAST-FOOD REST CHAIN,39.077485,-108.551952,722513,58120307,584202,43,43,2014
MCDONALD'S,MCDONALD'S,2850 W ALAMEDA AVE,DENVER,CO,802192902,3039376880,FAST-FOOD REST CHAIN,39.711036,-105.02352,722513,58120307,588235,43,43,2014
MCDONALD'S,MCDONALD'S,14825 W 64TH AVE,ARVADA,CO,800077523,3034230912,FAST-FOOD REST CHAIN,39.812557,-105.166499,722513,58120307,550200,43,43,2014
MCDONALD'S,MCDONALD'S,2700 W BELLEVIEW AVE,LITTLETON,CO,801237751,7202833039,FAST-FOOD REST CHAIN,39.623984,-105.021183,722513,58120307,571762,43,43,2009
MCDONALD'S,MCDONALD'S,10000 W COLFAX AVE,LAKEWOOD,CO,802153908,3032380665,FAST-FOOD REST CHAIN,39.740087,-105.109804,722513,58120307,543669,43,43,2014
MCDONALDS 17970,MCDONALD'S,3201 23RD AVE,EVANS,CO,806201733,9705060683,FAST-FOOD REST CHAIN,40.384329,-104.715813,722513,58120307,890000,43,43,2007
MCDONALDS 22588,MCDONALD'S,18181 E HAMPDEN AVE,AURORA,CO,800133558,3036804197,FAST-FOOD REST CHAIN,39.653161,-104.777241,722513,58120307,622709,43,43,2007
MCDONALDS 24890,MCDONALD'S,2171 W 128TH AVE,DENVER,CO,802341306,3034507500,FAST-FOOD REST CHAIN,39.92865,-105.012786,722513,58120307,890000,43,43,2007
MC DONALD'S 27680 INC,MCDONALD'S,27680 FRONTAGE RD,LA JUNTA,CO,810509707,7193848979,FAST-FOOD REST CHAIN,37.991633,-103.570622,722513,58120307,950000,45,45,1981
MCDONALDS 30360,MCDONALD'S,6101 S AURORA PKWY,AURORA,CO,800165801,3036806760,FAST-FOOD REST CHAIN,39.607782,-104.703634,722513,58120307,583729,43,43,2007
